cc_num,category,amt,gender,age,is_fraud
3034334441,12,37038,1,67,0
3023054013,8,21718,1,0,0
4210078554,12,38797,0,45,0
4708992452,11,38443,1,100,0
4658490815,8,35756,0,100,1
5020495684,3,11987,1,67,1
3742382095,8,36892,1,100,1
3010313200,9,35211,0,80,0
6517217825,8,62315,1,85,1
2288813824,8,37234,0,46,0
4810839835,2,10610,0,69,0
4681699462,8,37802,1,23,1
4390966588,12,36762,1,39,0
1800654790,9,37628,0,56,1
4186530744,2,122,0,39,1
2305336922,11,28815,1,73,1
6011252220,2,13409,1,100,0
3598014571,2,14932,0,100,0
2131914023,4,14972,1,100,0
6547670341,2,4373,1,100,0
3003316239,4,14681,1,6,0
4247921790,9,34362,0,100,1
3560797065,4,33954,0,92,1
2131559976,11,15092,1,29,1
6011104316,4,9185,0,69,0
2256234701,9,25358,1,100,1
6042785159,9,16748,1,18,0
4550599031,0,9610,0,33,0
6390773099,9,21739,1,33,0
4958589671,1,8424,1,100,0
3776545903,12,38567,1,27,0
4334230547,2,825,1,33,0
1800677845,11,35065,0,100,0
3546897637,4,31329,0,100,1
4708992452,8,37797,1,100,0
2131258150,2,9469,1,100,0
2254917871,2,8738,0,12,0
4079773899,4,49635,1,45,1
3518234918,4,70431,0,16,0
3581130339,12,37032,1,56,1
2280870154,12,38909,0,33,1
5388659976,2,9239,1,67,0
3423512569,3,10134,0,98,0
4836998673,2,107,0,29,1
4992346398,2,10649,1,100,1
3779931053,3,11004,1,12,1
4279161831,2,4939,0,80,0
4935858973,11,21825,1,12,0
3782786198,0,36835,0,56,0
5718440999,0,266059,0,100,1
3526826139,11,52496,1,100,0
6763691107,8,18001,1,6,1
4841313716,4,13001,1,92,0
3782786198,12,34048,0,56,1
3409514382,8,1282,0,10,0
3573030041,2,5417,0,92,0
4191109180,4,77339,0,100,0
4254074738,11,38465,1,100,1
3023543871,2,9992,1,35,0
4671727014,4,40519,1,100,0
3552581383,0,3601,1,50,1
3502088871,4,30361,1,18,0
3533012926,2,4028,0,100,1
3567697931,2,8536,1,100,1
6011367958,4,96078,0,86,0
4683520018,8,31580,1,100,0
5038483033,2,8830,1,18,0
6762456008,9,36813,0,73,0
3560725013,12,35678,0,22,0
3048764887,2,5321,0,100,1
3500969075,2,653,1,100,1
2703186189,9,55183,0,80,0
3496127649,12,46578,1,63,0
4809701904,9,38679,0,58,0
6011477612,4,34932,1,100,1
3749300711,2,10796,1,10,0
3744977175,11,36414,0,100,0
4797297220,2,13746,0,98,0
3719852362,9,38735,1,100,1
4319584480,2,3073,0,79,0
3525590521,2,5518,1,63,1
3546897637,8,496276,0,100,0
2131368027,4,14811,0,100,1
3562264947,2,12611,1,39,1
4855488158,3,16736,1,100,0
3596357274,4,5979,1,4,1
4605902936,4,8094,1,79,0
4119762878,8,35324,0,100,0
2512312531,12,37218,1,96,0
4939976756,9,23430,0,98,1
5714650354,4,21915,1,12,0
3003038024,4,18599,1,100,1
4488941175,4,68352,0,69,1
4536996888,2,4546,1,4,1
3778959910,1,14443,0,50,1
3534093764,11,35003,1,39,0
5608811347,2,13224,0,100,1
4089096483,3,18593,0,58,0
3558881852,2,3455,1,96,1
6011999606,4,19498,1,45,1
3772340096,9,36105,0,45,0
2297447006,2,8459,0,79,1
6011305591,12,70948,1,79,0
2131577679,9,30619,0,63,0
6011360759,12,35616,1,100,0
6763142177,3,10475,0,4,1
6011148190,9,10758,0,100,0
6762342562,4,15294,1,100,0
4727244663,2,6378,0,100,1
3766568869,3,19609,1,69,1
3042820467,2,3298,1,52,0
4181833256,2,3384,0,86,0
2706977570,11,6582,1,29,0
3513618443,4,37135,0,100,0
1800364567,2,6985,0,6,0
4208110975,4,15474,1,46,1
2713913904,4,7845,0,56,0
1800677845,12,37358,0,100,0
2131998653,0,33907,1,100,0
3592931352,11,6024,1,100,1
3749300711,4,2586,1,10,1
5809541733,4,25788,0,79,1
3010313200,1,35022,0,80,1
6011975266,11,34014,0,100,1
4089096483,3,18473,0,58,1
4862293128,12,34773,0,96,1
3583793405,2,5293,0,16,0
3775501673,8,29652,1,85,1
2131737538,12,34688,1,79,0
1800490329,9,11487,1,69,0
4451952084,12,38664,1,40,0
6011504998,2,293,0,10,1
4129767952,2,9109,0,4,1
4477156602,8,15109,0,100,0
2288748891,4,8055,0,39,1
2131266626,4,8075,1,16,0
4451438912,3,23088,0,100,1
3583635130,2,4137,0,63,1
1800944193,3,8030,0,4,0
4471568287,2,6211,1,100,0
3593399694,11,38257,1,50,1
5456776410,3,46,0,100,1
6011388901,2,4742,0,100,0
3558881852,2,22542,1,96,0
4384910379,12,38707,0,100,0
4488258847,9,32451,0,100,0
6762482822,1,24892,0,33,0
1800114532,9,21469,1,100,0
3533800906,12,34211,0,100,1
5836994826,9,38156,0,100,1
6011893664,4,72882,0,12,1
2131744676,11,37752,1,27,1
4306586894,4,9370,0,79,0
5540636818,3,10975,1,63,0
3547574373,8,38235,1,67,0
1800671518,9,24813,0,100,1
3559160581,9,22284,1,0,0
3443423390,9,325,0,39,0
3592931352,2,11483,1,100,0
5596347693,8,20884,1,100,0
3533800906,11,38229,0,100,1
2131744676,11,15292,1,27,1
6524376634,2,5608,0,100,0
3582754887,12,35565,1,39,1
3540862542,12,29652,0,100,1
4423489490,2,10992,1,96,0
2512312531,8,38128,1,96,1
3748218190,4,122410,1,100,0
3506042666,2,2653,0,79,0
5018994534,4,21,0,22,1
6759456907,3,24257,0,100,0
3779931053,2,1994,1,12,1
4935858973,8,19065,1,12,1
3527063666,4,39384,0,45,0
3521417320,9,38982,0,12,0
4452366298,4,26945,0,23,1
3552581383,0,35711,1,50,1
3560697798,8,38606,1,100,0
3011842374,3,12229,1,100,1
3529597930,2,965,0,69,0
6528911529,2,14320,0,50,1
6761737924,3,8875,0,73,0
4428154703,4,26125,0,100,0
3710342935,4,24579,1,45,0
4497451418,9,32665,0,100,0
3597926034,8,35644,1,100,1
5738601935,2,7322,1,75,1
4904681492,2,3637,0,98,0
1800466171,4,9881,0,100,1
5836994826,0,21919,0,100,1
5359543825,4,21463,1,12,1
3027043209,2,2741,0,4,0
3752483078,4,25124,1,33,0
3858048561,12,14586,0,33,0
5038483033,4,16697,1,18,0
3443423390,4,12754,0,39,0
4587657402,2,10441,0,100,0
